Species,CommonName,Year,Habitat,Site,Count,Sample
Atherinops affinis,Topsmelt,2018,Control,A,20,2018ControlA
Atherinops affinis,Topsmelt,2018,Control,B,8,2018ControlB
Mugil cephalus,Mullet,2018,Control,A,1,2018ControlA
Mugil cephalus,Mullet,2018,Control,B,3,2018ControlB
Gillichthys mirabilis,Mudsucker,2018,Control,A,2,2018ControlA
Gillichthys mirabilis,Mudsucker,2018,Control,B,1,2018ControlB
Hypsoblennius gentilis,Blenny,2018,Control,B,1,2018ControlB
Hypsopsetta guttulata,Turbot,2018,Control,A,3,2018ControlA
Hypsopsetta guttulata,Turbot,2018,Control,B,1,2018ControlB
Acanthogobius flavimanus,Goby,2018,Control,B,2,2018ControlB
Urobatis halleri,RoundRay,2018,Control,B,1,2018ControlB
Atherinops affinis,Topsmelt,2018,Restored,A,10,2018RestoredA
Atherinops affinis,Topsmelt,2018,Restored,B,9,2018RestoredB
Mugil cephalus,Mullet,2018,Restored,A,2,2018RestoredA
Mugil cephalus,Mullet,2018,Restored,B,1,2018RestoredB
Gillichthys mirabilis,Mudsucker,2018,Restored,A,2,2018RestoredA
Gillichthys mirabilis,Mudsucker,2018,Restored,B,3,2018RestoredB
Hypsoblennius gentilis,Blenny,2018,Restored,B,3,2018RestoredB
Hypsopsetta guttulata,Turbot,2018,Restored,A,1,2018RestoredA
Acanthogobius flavimanus,Goby,2018,Restored,A,2,2018RestoredA
Urobatis halleri,RoundRay,2018,Restored,A,2,2018RestoredA
Urobatis halleri,RoundRay,2018,Restored,B,1,2018RestoredB
Paralabrax clathratus,KelpBass,2018,Restored,B,1,2018RestoredB
Atherinops affinis,Topsmelt,2020,Control,A,12,2020ControlA
Atherinops affinis,Topsmelt,2020,Control,B,10,2020ControlB
Mugil cephalus,Mullet,2020,Control,A,4,2020ControlA
Mugil cephalus,Mullet,2020,Control,B,5,2020ControlB
Gillichthys mirabilis,Mudsucker,2020,Control,B,3,2020ControlB
Hypsoblennius gentilis,Blenny,2020,Control,A,2,2020ControlA
Hypsopsetta guttulata,Turbot,2020,Control,A,2,2020ControlA
Hypsopsetta guttulata,Turbot,2020,Control,B,5,2020ControlB
Acanthogobius flavimanus,Goby,2020,Control,A,1,2020ControlA
Acanthogobius flavimanus,Goby,2020,Control,B,3,2020ControlB
Urobatis halleri,RoundRay,2020,Control,A,2,2020ControlA
Paralabrax clathratus,KelpBass,2020,Control,A,1,2020ControlA
Atherinops affinis,Topsmelt,2020,Restored,A,7,2020RestoredA
Atherinops affinis,Topsmelt,2020,Restored,B,8,2020RestoredB
Mugil cephalus,Mullet,2020,Restored,A,6,2020RestoredA
Mugil cephalus,Mullet,2020,Restored,B,2,2020RestoredB
Gillichthys mirabilis,Mudsucker,2020,Restored,A,0,2020RestoredA
Gillichthys mirabilis,Mudsucker,2020,Restored,B,2,2020RestoredB
Hypsoblennius gentilis,Blenny,2020,Restored,A,1,2020RestoredA
Hypsoblennius gentilis,Blenny,2020,Restored,B,2,2020RestoredB
Hypsopsetta guttulata,Turbot,2020,Restored,A,1,2020RestoredA
Hypsopsetta guttulata,Turbot,2020,Restored,B,2,2020RestoredB
Acanthogobius flavimanus,Goby,2020,Restored,A,3,2020RestoredA
Acanthogobius flavimanus,Goby,2020,Restored,B,1,2020RestoredB
Urobatis halleri,RoundRay,2020,Restored,B,1,2020RestoredB
Atherinops affinis,Topsmelt,2022,Control,A,17,2022ControlA
Atherinops affinis,Topsmelt,2022,Control,B,18,2022ControlB
Mugil cephalus,Mullet,2022,Control,A,4,2022ControlA
Mugil cephalus,Mullet,2022,Control,B,2,2022ControlB
Gillichthys mirabilis,Mudsucker,2022,Control,B,2,2022ControlB
Hypsoblennius gentilis,Blenny,2022,Control,A,3,2022ControlA
Hypsoblennius gentilis,Blenny,2022,Control,B,1,2022ControlB
Hypsopsetta guttulata,Turbot,2022,Control,A,2,2022ControlA
Hypsopsetta guttulata,Turbot,2022,Control,B,1,2022ControlB
Acanthogobius flavimanus,Goby,2022,Control,A,3,2022ControlA
Urobatis halleri,RoundRay,2022,Control,A,2,2022ControlA
Urobatis halleri,RoundRay,2022,Control,B,1,2022ControlB
Paralabrax clathratus,KelpBass,2022,Control,B,2,2022ControlB
Atherinops affinis,Topsmelt,2022,Restored,A,16,2022RestoredA
Atherinops affinis,Topsmelt,2022,Restored,B,23,2022RestoredB
Mugil cephalus,Mullet,2022,Restored,A,3,2022RestoredA
Mugil cephalus,Mullet,2022,Restored,B,5,2022RestoredB
Gillichthys mirabilis,Mudsucker,2022,Restored,A,5,2022RestoredA
Gillichthys mirabilis,Mudsucker,2022,Restored,B,6,2022RestoredB
Hypsoblennius gentilis,Blenny,2022,Restored,A,3,2022RestoredA
Hypsoblennius gentilis,Blenny,2022,Restored,B,4,2022RestoredB
Hypsopsetta guttulata,Turbot,2022,Restored,A,3,2022RestoredA
Hypsopsetta guttulata,Turbot,2022,Restored,B,2,2022RestoredB
Acanthogobius flavimanus,Goby,2022,Restored,A,4,2022RestoredA
Acanthogobius flavimanus,Goby,2022,Restored,B,5,2022RestoredB
Urobatis halleri,RoundRay,2022,Restored,A,3,2022RestoredA
Urobatis halleri,RoundRay,2022,Restored,B,4,2022RestoredB
Paralabrax clathratus,KelpBass,2022,Restored,A,1,2022RestoredA
Paralabrax clathratus,KelpBass,2022,Restored,B,2,2022RestoredB
